#round,#clusters,threshold,#relevant_clusters,Mean Absolute Error
1.0,4.0,0.82,2.0,1.0
2.0,4.0,0.82,2.0,2.167
3.0,4.0,0.82,2.0,2.111
4.0,4.0,0.82,2.0,1.125
5.0,4.0,0.82,2.0,2.286
6.0,4.0,0.82,2.0,4.0
7.0,4.0,0.82,2.0,1.571
8.0,4.0,0.82,2.0,2.3
9.0,4.0,0.82,2.0,3.0
10.0,4.0,0.82,3.0,1.786
11.0,4.0,0.82,2.0,2.25
12.0,4.0,0.82,2.0,2.875
13.0,4.0,0.82,2.0,2.222
14.0,4.0,0.82,3.0,2.0
15.0,4.0,0.82,2.0,3.188
16.0,4.0,0.82,2.0,3.0
17.0,4.0,0.82,2.0,5.2
18.0,4.0,0.82,2.0,2.125
19.0,4.0,0.82,2.0,2.25
20.0,4.0,0.82,2.0,1.25
21.0,4.0,0.82,2.0,1.222
22.0,4.0,0.82,2.0,2.143
23.0,4.0,0.82,2.0,2.769
24.0,4.0,0.82,2.0,1.667
25.0,4.0,0.82,2.0,1.333
