#round,#clusters,threshold,#relevant_clusters,Mean Absolute Error
1.0,16.0,0.3,13.0,1.0
2.0,16.0,0.3,12.0,1.833
3.0,16.0,0.3,13.0,1.556
4.0,16.0,0.3,11.0,1.25
5.0,16.0,0.3,12.0,1.429
6.0,16.0,0.3,11.0,2.6
7.0,16.0,0.3,12.0,2.429
8.0,16.0,0.3,12.0,1.4
9.0,16.0,0.3,12.0,3.5
10.0,16.0,0.3,12.0,1.571
11.0,16.0,0.3,12.0,2.75
12.0,16.0,0.3,12.0,2.625
13.0,16.0,0.3,12.0,1.111
14.0,16.0,0.3,13.0,0.833
15.0,16.0,0.3,12.0,2.188
16.0,16.0,0.3,11.0,4.0
17.0,16.0,0.3,12.0,3.6
18.0,16.0,0.3,11.0,1.625
19.0,16.0,0.3,12.0,1.875
20.0,16.0,0.3,11.0,1.75
21.0,16.0,0.3,11.0,1.0
22.0,16.0,0.3,13.0,1.5
23.0,16.0,0.3,13.0,2.692
24.0,16.0,0.3,12.0,2.0
25.0,16.0,0.3,13.0,1.667
