#round,#clusters,threshold,#relevant_clusters,Mean Absolute Error
159.0,32.0,0.11,19.0,0.0
160.0,32.0,0.11,20.0,1.0
161.0,32.0,0.11,19.0,1.0
162.0,32.0,0.11,19.0,0.0
163.0,32.0,0.11,19.0,0.0
164.0,32.0,0.11,17.0,2.0
165.0,32.0,0.11,18.0,2.0
166.0,32.0,0.11,20.0,1.0
167.0,32.0,0.11,18.0,1.0
168.0,32.0,0.11,19.0,1.0
169.0,32.0,0.11,20.0,2.0
170.0,32.0,0.11,20.0,1.0
171.0,32.0,0.11,19.0,2.0
172.0,32.0,0.11,20.0,1.0
173.0,32.0,0.11,21.0,2.0
174.0,32.0,0.11,19.0,1.0
175.0,32.0,0.11,18.0,4.0
176.0,32.0,0.11,18.0,1.0
177.0,32.0,0.11,18.0,1.0
178.0,32.0,0.11,18.0,1.0
179.0,32.0,0.11,17.0,2.0
180.0,32.0,0.11,21.0,0.0
181.0,32.0,0.11,20.0,2.0
182.0,32.0,0.11,21.0,1.0
183.0,32.0,0.11,19.0,1.0
184.0,32.0,0.11,20.0,1.0
185.0,32.0,0.11,18.0,0.0
186.0,32.0,0.11,19.0,1.0
187.0,32.0,0.11,19.0,7.0
188.0,32.0,0.11,18.0,3.0
189.0,32.0,0.11,20.0,3.0
190.0,32.0,0.11,18.0,4.0
191.0,32.0,0.11,20.0,1.0
192.0,32.0,0.11,21.0,2.0
193.0,32.0,0.11,19.0,6.0
194.0,32.0,0.11,19.0,2.0
195.0,32.0,0.11,18.0,2.0
196.0,32.0,0.11,19.0,2.0
197.0,32.0,0.11,21.0,1.0
198.0,32.0,0.11,20.0,1.0
199.0,32.0,0.11,21.0,1.0
200.0,32.0,0.11,19.0,2.0
